Sample number,depth?cm),?13C/12C,?18O/16O,depth?cm),,AgeD,Donge,hulu,AgeH,,Depth,Cal Age
1,8,1.544,-2.918,8,,1.7,-8.06,-7.84,10.495,,4,1913
2,12,1.43,-3.058,12,,20,-7.98,-7.84,10.641,,66,8913
3,16,0.923,-2.8,16,,38.2,-7.9,-7.87,10.787,,114,15480
4,20,1.342,-3.403,20,,56.5,-7.73,-7.77,10.933,,162,29321
5,24,1.169,-3.245,24,,91.3,-7.84,-7.56,10.979,,222,29326
6,28,1.453,-3.285,28,,93,-7.94,-7.65,11.025,,274,28748
7,32,1.893,-2.283,32,,94.7,-8.02,-7.56,11.072,,302,32009
8,36,1.646,-2.272,36,,96.5,-7.83,-7.64,11.118,,382,32260
9,40,1.045,-3.266,40,,98.2,-7.85,-7.57,11.164,,474,32651
10,44,0.985,-2.632,44,,99.9,-8.05,-7.45,11.21,,,
11,48,0.722,-2.305,48,,101.6,-7.86,-7.3,11.257,,,
12,52,0.635,-2.705,52,,103.4,-8.15,-7.33,11.303,,,
13,56,0.75,-1.63,56,,105.1,-8.21,-7.14,11.349,,,
14,60,0.797,-1.228,60,,106.8,-8.08,-7.21,11.395,,,
15,64,1.213,-1.056,64,,108.6,-8.03,-7.06,11.442,,,
16,68,1.605,-1.643,68,,110.3,-7.98,-7.12,11.488,,,
17,72,0.859,-3.124,72,,112,-7.91,-6.79,11.534,,,
18,76,0.962,-3.002,76,,113.8,-7.66,-6.42,11.627,,,
19,80,1.009,-3.112,80,,115.5,-7.7,-6.29,11.72,,,
20,84,0.815,-2.125,84,,117.2,-7.85,-6.29,11.813,,,
21,88,0.846,-2.386,88,,119,-7.86,-6.3,11.906,,,
22,92,0.939,-2.494,92,,120.7,-7.86,-6.34,11.999,,,
23,96,0.923,-2.444,96,,122.4,-7.84,-6.31,12.092,,,
24,100,0.996,-1.761,100,,124.1,-7.94,-6.31,12.185,,,
25,104,0.853,-1.37,104,,125.9,-7.59,-6.11,12.278,,,
26,108,1.144,-0.707,108,,127.6,-7.78,-6.16,12.371,,,
27,112,1.534,-0.962,112,,129.3,-7.96,-6.09,12.464,,,
28,116,1.129,-0.153,116,,131.1,-7.95,-6.09,12.557,,,
29,120,1.074,-1.67,120,,132.8,-8.1,-6.11,12.582,,,
30,124,1.039,-1.499,124,,134.5,-7.99,-6.11,12.608,,,
31,128,0.827,-1.301,128,,136.3,-7.68,-6.33,12.633,,,
32,132,0.885,-2.089,132,,138,-7.88,-6.49,12.658,,,
33,136,0.698,-2.017,136,,139.7,-7.75,-6.54,12.684,,,
34,140,1.5,-1.076,140,,141.5,-7.86,-6.61,12.709,,,
35,144,1.568,-1.331,144,,143.2,-7.96,-6.73,12.735,,,
36,148,1.667,-0.918,148,,144.9,-8.36,-6.67,12.76,,,
37,152,0.809,-1.622,152,,146.6,-8.08,-6.8,12.785,,,
38,156,0.653,-1.638,156,,148.4,-7.66,-6.8,12.811,,,
39,160,0.987,-2.09,160,,150.1,-7.98,-6.97,12.836,,,
40,164,0.982,-1.704,164,,151.8,-7.97,-7.1,12.861,,,
41,168,0.93,-2.09,168,,155.3,-7.71,-7.39,12.887,,,
42,172,1.033,-1.942,172,,158.8,-7.75,-7.41,12.912,,,
43,176,1.038,-1.601,176,,165.7,-7.79,-7.33,12.969,,,
44,180,1.786,-1.432,180,,169.1,-8.18,-7.22,13.026,,,
45,184,1.262,-2.149,184,,172.6,-8.08,-7.25,13.083,,,
46,188,0.945,-1.587,188,,176.1,-7.88,-7.15,13.14,,,
47,192,1.043,-1.703,192,,179.5,-8.44,-7.07,13.196,,,
48,196,0.903,-2.135,196,,183,-8.04,-7.27,13.253,,,
49,200,0.902,-1.36,200,,187,-8.17,-7.28,13.31,,,
50,204,0.916,-2.066,204,,191,-8.29,-7.33,13.367,,,
51,208,1.212,-1.927,208,,195,-7.97,-7.28,13.424,,,
52,212,0.909,-1.566,212,,199,-7.85,-7.25,13.481,,,
53,216,1.025,-2.187,216,,203,-7.78,-7.16,13.538,,,
54,220,0.996,-1.557,220,,207,-7.72,-7.01,13.595,,,
55,224,0.97,-1.835,224,,211,-7.78,-7.01,13.652,,,
56,228,0.711,-1.704,228,,215,-8.09,-7,13.709,,,
57,232,0.439,-1.664,232,,219,-8.01,-7.04,13.765,,,
58,236,-0.167,-2.598,236,,223,-8.05,-6.89,13.822,,,
59,240,0.783,-2.104,240,,227,-7.85,-6.78,13.879,,,
60,244,0.656,-2.286,244,,231,-8.12,-6.64,13.936,,,
61,248,0.871,-1.742,248,,235,-7.9,-6.71,13.993,,,
62,252,0.15,-2.675,252,,239,-8.03,-6.75,14.05,,,
