Depth (cm),Al,Si,S,Cl,K,Ca,Ti,Mn,Fe,Ni,Zn,Br,Zr,Sr,sorting,skewness,kurtosis,mean(um),Median(um),Clay,Silt,TC(%),TN(%),TOC%,TIC%,TON%,CaCO3(%),TOC/TN
5.5,6209.5,58462.5,1140.5,22748,50210,13774,16493,8126.5,169014,200.5,236,366,2980.5,1677.5,1.067397001,0.013158952,0.964250013,9.38207,9.38207,13.4,86.6,0.46,0.09,0.277894737,0.182105263,0.087763759,1.51754386,4.277777778
7.5,6010.5,57350.5,987.5,19226,46760.5,22414.5,15102.5,9560.5,158413.5,184.5,209.5,258.5,4005.5,1655,0.95340639,0.04657501,0.855471753,7.078616542,7.17868,21.4,78.6,0.69,0.079999333,0.412073786,0.279953948,0.079086518,2.332949565,6.009459457
9.5,5191,50031.5,792,17556.5,41832.5,21728,13618,4056,151114.5,197.5,203.5,325.5,2973,1866,1.020926204,-0.032293864,0.849306958,6.363268977,6.23267,28,72,0.64,0.076576735,0.270783914,0.370709488,0.051321604,3.089245737,4.125464013
13.5,4106,43139,1038,23107,37471,26163,12382,4013,156294,176,167,330,3617,1663,1.018308513,0.042587687,0.840447062,7.488465058,7.58385,20.9,79.1,0.66,0.076837996,0.421985862,0.241950314,0.076612214,2.016252613,6.40720559
17,5587,53937,1237,23298,45753,57512,15249,6138,150612,217,190,413,3175,2500,0.975185289,-0.03294755,0.855555649,6.249289975,6.12766,27.7,72.3,1.15,0.085129899,0.496861661,0.652511264,0.084159991,5.437593863,6.809263772
19,5312,51690,1066,21175,41995,47567,14296,4462,136749,249,217,349,2837,2255,0.994247404,-0.013072663,0.851364776,6.597179082,6.52136,25.6,74.4,1.14,0.07841045,0.422238776,0.721172014,0.070282634,6.009766781,6.282477712
21,4431,44109,1230,25913,41767,28141,14064,4010,148131,195,215,432,2532,1895,0.996445772,-0.024323071,0.850023898,6.368494515,6.26358,27.3,72.7,0.65,0.075719278,0.476847989,0.171251587,0.086955425,1.427096558,7.347173229
25.4,4495,45558.5,1019,21371.5,38942.5,30720,12790.5,4033.5,163498,214,179.5,306.5,3076,1925.5,0.965818913,0.038918538,0.848412957,7.112430457,7.19,21.6,78.4,0.73,0.071540286,0.325755677,0.406998957,0.075847204,3.391657977,5.312367486
30,5046,48779,1061,23914,41180,48819,13943,4546,137210,168,200,273,3986,1881,0.990968515,0.036525138,0.842141131,7.470593277,7.54094,20.2,79.8,1.17,0.076015556,0.383883405,0.787271127,0.065006471,6.560592727,5.891741058
32.5,5243.5,50879,1145,23479,44065.5,36435,14698.5,4492.5,156960,187.5,183,303.5,2555.5,1693,1.009758967,0.06748808,0.838798293,7.255912807,7.43046,21.9,78.1,0.84,0.076444647,0.312914941,0.531353006,0.061237027,4.427941713,4.775578754
